"","X","ensgene","name","module","mm"
"197",197,"HP1BP3","uc001bdv.1","lightyellow",0.219967452160184
"198",198,"HP1BP3","uc010odh.1","orangered4",0.266872242439751
"199",199,"HP1BP3","uc001bea.2","grey60",0.173642062922106
"209",209,"CDC42","uc001bfp.3","grey60",0.263192409777224
"210",210,"CDC42","uc001bfq.3","skyblue3",0.181935899096041
"211",211,"CDC42","uc001bfr.3","red",0.406394241863771
"229",229,"PITHD1","uc001bhq.3","brown",0.463358782478085
"230",230,"PITHD1","uc010oeb.2","plum1",0.270554232221804
"257",257,"STMN1","uc010oev.2","magenta",0.155741623841644
"258",258,"STMN1","uc001bla.3","darkgreen",0.505437316525147
"269",269,"ARID1A","uc001bmu.1","white",0.459742664923811
"270",270,"ARID1A","uc001bmw.1","lightyellow",0.206469657070686
"271",271,"ARID1A","uc001bmx.1","darkorange",0.100641627114192
"292",292,"ATPIF1","uc001bpq.3","steelblue",0.471724699489341
"293",293,"ATPIF1","uc001bpr.3","yellowgreen",0.296905828290616
"298",298,"TRNAU1AP","uc001bqh.4","skyblue",0.117626957408363
"299",299,"TRNAU1AP","uc001bqi.3","plum1",0.192449389398505
"327",327,"TXLNA","uc001bui.3","yellow",0.124075837162764
"328",328,"TXLNA","uc001buj.3","orange",0.132796829864228
"354",354,"7SK","uc021okx.1","salmon",0.235797734912749
"357",357,"Mir_548","uc021ola.1","yellow",0.974784929920342
"381",381,"THRAP3","uc001cae.4","turquoise",0.270256801604277
"382",382,"THRAP3","uc001caf.4","greenyellow",0.12951750882311
"386",386,"OSCP1","uc001caq.3","plum1",0.253054702334769
"387",387,"OSCP1","uc021olk.1","paleturquoise",0.155866670285647
"401",401,"SNORA63","uc021oln.1","pink",0.271454051278805
"409",409,"NDUFS5","uc001ccx.3","darkgreen",0.117773479176497
"410",410,"NDUFS5","uc001ccy.3","darkred",0.438882297568148
"425",425,"PPT1","uc010ojf.1","magenta",0.216872436262413
"426",426,"PPT1","uc001cfb.2","turquoise",0.347041939383473
"436",436,"NFYC","uc001cfy.4","greenyellow",0.216540965653687
"437",437,"NFYC","uc001cgc.3","orange",0.208829869321606
"438",438,"NFYC","uc001cgb.3","purple",0.204807636892436
"445",445,"PPCS","uc001chl.3","orangered4",0.15792683628209
"446",446,"PPCS","uc001chk.3","darkturquoise",0.193167090737439
"458",458,"EBNA1BP2","uc001cin.3","darkgrey",0.36972462106318
"459",459,"EBNA1BP2","uc001cio.3","blue",0.161690905299237
"468",468,"ATP6V0B","uc001cld.3","darkred",0.44945891499919
"469",469,"ATP6V0B","uc001clf.3","orange",0.205617632561434
"473",473,"ERI3","uc010okv.2","yellow",0.212762813785451
"474",474,"ERI3","uc001clt.3","salmon",0.307298162827684
"482",482,"EIF2B3","uc001cmt.3","violet",0.142909212801422
"483",483,"EIF2B3","uc001cmw.4","paleturquoise",0.105906738844381
"516",516,"AGBL4","uc001cru.2","lightcyan",0.17901277624006
"517",517,"AGBL4","uc010omw.1","skyblue",0.12914566434739
"534",534,"ZCCHC11","uc001cty.2","purple",0.151473058480431
"535",535,"ZCCHC11","uc009vze.1","white",0.177544411105464
"539",539,"ZYG11B","uc009vzg.3","magenta",0.217557413564573
"540",540,"ZYG11B","uc001cuj.3","brown",0.360643981699077
"551",551,"HSPB11","uc001cwh.3","lightcyan",0.161505883316214
"552",552,"HSPB11","uc001cwi.1","orangered4",0.319033332688775
"554",554,"TMEM59","uc001cwn.3","magenta",0.179728414698422
"555",555,"TMEM59","uc001cwo.3","turquoise",0.213628035730509
"556",556,"TMEM59","uc001cwp.3","darkred",0.307642436197327
"567",567,"7SK","uc021onz.1","pink",0.380482584613002
"587",587,"ATG4C","uc001dat.3","turquoise",0.144768676857032
"588",588,"ATG4C","uc001dau.3","royalblue",0.211045572447721
"595",595,"Mir_544","uc021oog.1","yellow",0.959793695629581
"602",602,"U6","uc021ooj.1","yellow",0.864691984494109
"609",609,"PDE4B","uc001dco.3","orange",0.21818150281916
"610",610,"PDE4B","uc001dcp.3","royalblue",0.253743723906474
"611",611,"U4","uc021oom.1","yellow",0.921417406492442
"612",612,"PDE4B","uc001dcq.3","tan",0.434979321343662
"613",613,"PDE4B","uc009was.3","darkturquoise",0.260436777104493
"617",617,"WDR78","uc009wax.3","plum1",0.0963175672159863
"618",618,"WDR78","uc001dcy.3","paleturquoise",0.171196804676175
"623",623,"SERBP1","uc001ddy.3","darkgrey",0.228696645741618
"624",624,"SERBP1","uc001ddw.3","orangered4",0.2402386346731
"625",625,"SERBP1","uc001ddv.3","lightcyan",0.110251025183136
"630",630,"WLS","uc001dee.3","turquoise",0.179328138319695
"631",631,"WLS","uc001def.2","tan",0.297159569203134
"632",632,"WLS","uc001deh.2","plum1",0.147326616426463
"637",637,"ANKRD13C","uc001dex.4","darkmagenta",0.198916233474452
"638",638,"ANKRD13C","uc009wbk.3","saddlebrown",0.171833695613867
"639",639,"ANKRD13C","uc001dey.4","greenyellow",0.200013734118398
"653",653,"ACADM","uc001dgw.4","orangered4",0.177407049581754
"654",654,"ACADM","uc009wbr.3","turquoise",0.193341338545902
"655",655,"ACADM","uc009wbs.1","cyan",0.178507575931358
"664",664,"ZZZ3","uc001dhp.3","violet",0.178054810980288
"665",665,"ZZZ3","uc001dhq.3","brown",0.12738279309463
"666",666,"ZZZ3","uc009wbz.1","steelblue",0.209133423909076
"667",667,"USP33","uc001dht.4","magenta",0.419373242732861
"668",668,"USP33","uc001dhu.4","salmon",0.383635303473401
"669",669,"USP33","uc001dhw.4","pink",0.309339345920213
"672",672,"FUBP1","uc001dih.4","turquoise",0.161341596493314
"673",673,"FUBP1","uc001dii.3","blue",0.12172262122091
"674",674,"FUBP1","uc010orm.2","darkgrey",0.228387331064042
"681",681,"Mir_544","uc021oox.1","yellow",0.974633669793609
"687",687,"PRKACB","uc001dji.3","pink",0.222726987332186
"688",688,"PRKACB","uc001djn.3","brown",0.379709487602031
"689",689,"PRKACB","uc010oru.2","royalblue",0.318040708192843
"690",690,"PRKACB","uc009wcf.2","blue",0.134569498631147
"691",691,"PRKACB","uc001djp.3","darkgreen",0.478954946012221
"692",692,"PRKACB","uc001djq.3","brown",0.406828660466492
"693",693,"PRKACB","uc010orv.2","pink",0.178829480153097
"703",703,"DDAH1","uc010osb.2","brown",0.156045279921872
"704",704,"DDAH1","uc009wco.3","black",0.375168536293647
"705",705,"DDAH1","uc001dlb.3","steelblue",0.602673130557317
"706",706,"DDAH1","uc001dlc.3","grey60",0.31561877640499
"715",715,"LMO4","uc001dmi.3","steelblue",0.509503430710895
"716",716,"LMO4","uc001dmj.3","darkmagenta",0.39323870947548
"717",717,"Metazoa_SRP","uc021opm.1","salmon",0.435747998662096
"718",718,"PKN2","uc001dmn.3","skyblue",0.247749655656532
"719",719,"PKN2","uc009wcv.3","magenta",0.160801029407143
"728",728,"LRRC8B","uc001dni.3","darkmagenta",0.275641535375032
"729",729,"LRRC8B","uc001dnh.3","white",0.194729880833114
"730",730,"LRRC8B","uc001dnj.3","darkgrey",0.189654225741901
"738",738,"Metazoa_SRP","uc021ops.1","salmon",0.247924086137858
"741",741,"KIAA1107","uc010otd.2","saddlebrown",0.167904496435921
"742",742,"KIAA1107","uc001dop.3","darkgreen",0.492348671866099
"746",746,"RPL5","uc001doz.3","green",0.700469760452027
"747",747,"RPL5","uc001dpb.3","darkgrey",0.1354639569861
"748",748,"RPL5","uc001dpd.3","yellow",0.18844865242974
"763",763,"ABCD3","uc001dqm.4","darkred",0.127112303266309
"764",764,"ABCD3","uc001dqn.4","black",0.315326288414732
"765",765,"ABCD3","uc010oto.2","plum1",0.135293374371628
"791",791,"DBT","uc001dta.3","orangered4",0.172135575912399
"792",792,"DBT","uc021oqo.1","plum1",0.163202617679302
"795",795,"EXTL2","uc001dtk.2","skyblue",0.121698184075855
"796",796,"EXTL2","uc001dtl.2","cyan",0.211393345037546
"803",803,"AMY2B","uc010ouo.2","magenta",0.198233347209328
"804",804,"AMY2B","uc001duq.3","darkred",0.269511327782657
"806",806,"AMY2B","uc001dus.1","yellow",0.162586135477189
"820",820,"KIAA1324","uc021orb.1","orangered4",0.169998456926653
"821",821,"KIAA1324","uc010ovg.3","white",0.14532819240546
"833",833,"AMPD2","uc010ovr.1","midnightblue",0.114358686544905
"834",834,"AMPD2","uc010ovs.2","yellowgreen",0.133443377415324
"877",877,"LRIG2","uc001edf.1","purple",0.171477435695702
"878",878,"LRIG2","uc009wgn.1","darkmagenta",0.125339802642867
"879",879,"MAGI3","uc001edh.3","orangered4",0.285923973103416
"880",880,"MAGI3","uc001edi.4","darkorange",0.224496028168285
"884",884,"AP4B1","uc001eed.3","darkred",0.145347387613872
"885",885,"AP4B1","uc001eee.1","skyblue",0.103849523915086
"886",886,"AP4B1","uc010owq.2","white",0.177916383835962
"898",898,"ATP1A1","uc010owv.1","cyan",0.196563882058603
"899",899,"ATP1A1","uc001egd.2","darkred",0.257887896339219
"900",900,"ATP1A1","uc001ege.3","darkred",0.412925043315224
"901",901,"ATP1A1","uc010owx.2","sienna3",0.578260709788305
"904",904,"5S_rRNA","uc021osl.1","blue",0.739521204521578
"937",937,"AX746564","uc021oub.1","blue",0.162400690180469
"940",940,"NBPF9","uc009wif.1","yellow",0.182932715856532
"941",941,"NBPF9","uc010oye.3","saddlebrown",0.11181386222489
"944",944,"NBPF9","uc009wig.2","white",0.254002398982799
"946",946,"AX747132","uc001els.1","greenyellow",0.169275059681862
"947",947,"AX747132","uc001elt.1","grey60",0.452073096311778
"948",948,"PDE4DIP","uc001elv.4","grey60",0.238324069057455
"949",949,"PDE4DIP","uc001elw.4","skyblue",0.267841330121325
"950",950,"PDE4DIP","uc001emd.2","grey60",0.464869086596639
"955",955,"NBPF10","uc001emq.1","magenta",0.142856830490046
"956",956,"NBPF10","uc001enc.2","salmon",0.323638837144367
"957",957,"AX747132","uc001eng.1","saddlebrown",0.24407272171197
"966",966,"PEX11B","uc001eny.2","yellowgreen",0.224389982997613
"967",967,"PEX11B","uc010oyu.2","violet",0.30396866119434
"990",990,"FLJ39739","uc001eqn.3","turquoise",0.252279566761444
"991",991,"FLJ39739","uc001eqo.1","white",0.244021075560606
"996",996,"TRNA_Pseudo","uc021oxj.1","yellow",0.889986434816169
"1000",1000,"AX746564","uc001esn.1","white",0.255970325624961
"1002",1002,"HIST2H2BF","uc010pbk.2","purple",0.165119806474246
"1003",1003,"HIST2H2BF","uc001esr.4","paleturquoise",0.466999971265236
"1017",1017,"PLEKHO1","uc001ett.3","grey60",0.225412866240818
"1018",1018,"PLEKHO1","uc001etu.3","saddlebrown",0.165913893427496
"1021",1021,"APH1A","uc001ety.2","orange",0.0983232870505399
"1022",1022,"APH1A","uc001etz.2","black",0.154056961955731
"1025",1025,"PRPF3","uc009wlo.3","lightyellow",0.136974871169107
"1026",1026,"PRPF3","uc009wlp.2","saddlebrown",0.189052442275838
"1027",1027,"PRPF3","uc001eum.4","turquoise",0.250684926784223
"1028",1028,"RPRD2","uc010pcc.1","white",0.172423300043874
"1029",1029,"RPRD2","uc009wlr.3","orangered4",0.293668425578053
"1045",1045,"CDC42SE1","uc001ewo.3","violet",0.195812387478908
"1046",1046,"CDC42SE1","uc001ewp.3","tan",0.290523569640274
"1051",1051,"SCNM1","uc010pcs.2","pink",0.197997281943657
"1052",1052,"SCNM1","uc021oyn.1","orangered4",0.114941376366053
"1057",1057,"PI4KB","uc001exr.3","lightyellow",0.177060088211762
"1058",1058,"PI4KB","uc001exs.3","darkmagenta",0.0957860071770376
"1059",1059,"Metazoa_SRP","uc021oyp.1","pink",0.297243363396001
"1062",1062,"PSMB4","uc010pda.2","darkgrey",0.17696436415023
"1063",1063,"PSMB4","uc001eyc.1","turquoise",0.465389056723517
"1066",1066,"SNX27","uc001eyn.1","brown",0.206594544541586
"1067",1067,"SNX27","uc001eyo.3","yellowgreen",0.180911608397821
"1084",1084,"CHTOP","uc001fcn.2","darkgrey",0.231226463325878
"1085",1085,"CHTOP","uc001fco.2","purple",0.16907481559354
"1102",1102,"HAX1","uc001fes.3","turquoise",0.317310099171825
"1103",1103,"HAX1","uc009wou.3","orangered4",0.229176422048916
"1108",1108,"ADAR","uc021pag.1","pink",0.161419114282423
"1109",1109,"ADAR","uc001ffi.3","greenyellow",0.218941494484517
"1110",1110,"ADAR","uc001ffk.3","brown",0.410119265644219
"1123",1123,"KRTCAP2","uc001fho.3","violet",0.437508083740601
"1124",1124,"KRTCAP2","uc001fhp.1","skyblue",0.29493782032157
"1140",1140,"YY1AP1","uc009wqw.3","lightcyan",0.192889005213119
"1141",1141,"YY1AP1","uc001flo.3","magenta",0.447724319986887
"1142",1142,"YY1AP1","uc010pgj.2","orange",0.239637019732628
"1143",1143,"DAP3","uc001fls.3","magenta",0.182914682138059
"1144",1144,"DAP3","uc010pgl.2","orangered4",0.14496761012156
"1145",1145,"DAP3","uc010pgm.2","purple",0.13616833925825
"1146",1146,"DAP3","uc001flq.3","magenta",0.112392908765392
"1148",1148,"GON4L","uc009wrh.1","saddlebrown",0.208517409837016
"1149",1149,"GON4L","uc001fmb.4","greenyellow",0.155212302347882
"1150",1150,"GON4L","uc009wri.3","skyblue",0.165419841014343
"1153",1153,"KIAA0907","uc001fmi.1","darkturquoise",0.214349314602665
"1154",1154,"KIAA0907","uc001fmj.1","orange",0.159930250214058
"1156",1156,"KIAA0907","uc001fmm.3","orangered4",0.140498946904689
"1164",1164,"PMF1","uc009wru.2","lightyellow",0.192382613370992
"1165",1165,"PMF1","uc001fnq.3","paleturquoise",0.243684376617965
"1176",1176,"Y_RNA","uc021pbe.1","blue",0.615138306383935
"1195",1195,"CADM3","uc009wsx.1","orangered4",0.139032641451831
"1196",1196,"CADM3","uc001ftl.2","sienna3",0.574080116858447
"1208",1208,"ATP1A2","uc001fvc.3","black",0.71536246096408
"1209",1209,"ATP1A2","uc009wtg.1","greenyellow",0.198712887292799
"1212",1212,"DCAF8","uc001fvo.2","violet",0.120011793761884
"1213",1213,"DCAF8","uc009wth.2","magenta",0.160423085578892
"1214",1214,"DCAF8","uc001fvp.4","lightyellow",0.254022415257983
"1218",1218,"Y_RNA","uc021pbr.1","blue",0.670304794447173
"1225",1225,"NIT1","uc001fxw.3","lightcyan",0.16946499088733
"1226",1226,"NIT1","uc001fxy.2","skyblue",0.157976465550908
"1243",1243,"UHMK1","uc001gcd.3","darkorange",0.446214642372027
"1244",1244,"UHMK1","uc001gcc.2","steelblue",0.462886149655199
"1248",1248,"HSD17B7","uc001gci.3","purple",0.289556140843016
"1249",1249,"HSD17B7","uc009wuv.3","grey60",0.262334145955375
"1262",1262,"POGK","uc010ple.1","pink",0.171009822441677
"1263",1263,"POGK","uc001gdt.1","brown",0.257938615399118
"1271",1271,"MPC2","uc001ges.3","steelblue",0.663702267523245
"1272",1272,"MPC2","uc009wvn.3","darkgrey",0.0911939030889374
"1287",1287,"Metazoa_SRP","uc021peo.1","salmon",0.200541912734263
"1289",1289,"PRRX1","uc001ghe.3","orangered4",0.278148093064264
"1290",1290,"PRRX1","uc001ghf.3","tan",0.190314931950694
"1296",1296,"DNM3","uc001gid.5","turquoise",0.219342265778176
"1297",1297,"DNM3","uc001gie.4","darkolivegreen",0.479501509623025
"1298",1298,"DNM3","uc001gif.4","royalblue",0.26304629678612
"1300",1300,"PIGC","uc001gii.1","tan",0.201545885006654
"1301",1301,"PIGC","uc021pey.1","salmon",0.226235611065723
"1308",1308,"KLHL20","uc001gjc.3","lightcyan",0.138048198450022
"1309",1309,"KLHL20","uc001gjd.3","orangered4",0.162187335531853
"1322",1322,"RFWD2","uc001gkt.1","turquoise",0.166437766644967
"1323",1323,"RFWD2","uc001gku.1","salmon",0.151507300997612
"1324",1324,"RFWD2","uc001gkv.1","magenta",0.156191700330784
"1346",1346,"XPR1","uc009wxm.2","darkmagenta",0.128406193559034
"1347",1347,"XPR1","uc001goi.3","cyan",0.16447898032967
"1435",1435,"ZC3H11A","uc001hac.3","darkorange",0.189307419650155
"1436",1436,"ZC3H11A","uc001hae.3","darkgrey",0.164029769124952
"1437",1437,"ZC3H11A","uc001haf.3","saddlebrown",0.31037146293099
"1450",1450,"RBBP5","uc010prd.2","saddlebrown",0.181677164349821
"1451",1451,"RBBP5","uc001hbu.2","orange",0.197298750862036
"1452",1452,"DSTYK","uc001hbw.3","brown",0.371629721495263
"1453",1453,"DSTYK","uc001hby.1","greenyellow",0.180881737059456
"1491",1491,"LPGAT1","uc001hiu.3","white",0.281321037829758
"1492",1492,"LPGAT1","uc001hiv.3","brown",0.371658061198476
"1499",1499,"NSL1","uc001hjm.3","magenta",0.113956327153447
"1500",1500,"NSL1","uc001hjn.3","darkgrey",0.15808865961907
"1504",1504,"ANGEL2","uc010pto.2","orangered4",0.167920713477918
"1505",1505,"ANGEL2","uc001hjz.3","plum1",0.185572496326933
"1506",1506,"ANGEL2","uc001hkb.3","orangered4",0.224824966595093
"1526",1526,"MARC2","uc001hmq.3","orangered4",0.254135344219151
"1527",1527,"MARC2","uc001hmr.3","plum1",0.207718918480381
"1539",1539,"TP53BP2","uc010pva.2","black",0.492244827417217
"1540",1540,"TP53BP2","uc001hod.3","paleturquoise",0.275305551358936
"1541",1541,"TP53BP2","uc010pvb.2","black",0.231863028443008
"1547",1547,"WDR26","uc001hop.4","brown",0.143546373551277
"1548",1548,"WDR26","uc021pjp.1","orangered4",0.29417834383506
"1549",1549,"WDR26","uc009xei.2","paleturquoise",0.20275061296886
"1567",1567,"SNAP47","uc001hra.2","skyblue",0.157542990198187
"1569",1569,"SNAP47","uc001hrf.2","white",0.23285529405161
"1572",1572,"MRPL55","uc001hse.4","turquoise",0.232013447068131
"1573",1573,"MRPL55","uc001hsf.4","white",0.128816259687981
"1574",1574,"GUK1","uc001hsh.3","salmon",0.330687456870454
"1575",1575,"GUK1","uc001hsj.3","darkorange",0.122990828627723
"1614",1614,"COA6","uc001hwb.3","darkred",0.212534880077599
"1615",1615,"COA6","uc001hwc.3","plum1",0.264170897674844
"1621",1621,"RBM34","uc001hwn.3","grey60",0.162484985801754
"1622",1622,"RBM34","uc010pxp.1","lightyellow",0.136261578829029
"1623",1623,"ARID4B","uc001hws.4","violet",0.114847293968031
"1624",1624,"ARID4B","uc001hwt.4","darkgrey",0.166120244484721
"1625",1625,"ARID4B","uc001hwu.1","plum1",0.145035000460917
"1626",1626,"GGPS1","uc001hwv.3","greenyellow",0.165189134265885
"1627",1627,"GGPS1","uc001hww.3","darkred",0.18634856201719
"1628",1628,"TBCE","uc001hwz.1","orangered4",0.232630273717439
"1629",1629,"TBCE","uc001hxb.1","paleturquoise",0.157811894217919
"1631",1631,"LYST","uc001hxi.3","yellow",0.143062999878915
"1632",1632,"LYST","uc001hxm.4","skyblue",0.204931944317551
"1635",1635,"LGALS8","uc001hxz.2","darkorange",0.221864018847505
"1636",1636,"LGALS8","uc009xgg.2","white",0.168321733054302
"1641",1641,"7SK","uc021pkw.1","salmon",0.504603738182364
"1644",1644,"FMN2","uc010pyf.1","skyblue",0.213111311302768
"1645",1645,"FMN2","uc001hyr.3","darkgrey",0.132893274525557
"1658",1658,"Mir_584","uc021plv.1","blue",0.637084647305858
"1667",1667,"HNRNPU","uc001iay.1","turquoise",0.347494053026142
"1668",1668,"HNRNPU","uc001iaz.1","steelblue",0.315856596117079
"1669",1669,"HNRNPU","uc001iba.1","darkgrey",0.466480234240635
"1670",1670,"EFCAB2","uc010pyo.1","darkgrey",0.133994324899989
"1671",1671,"EFCAB2","uc001ibe.2","orangered4",0.190166662617716
"1684",1684,"ZNF124","uc001ich.3","lightgreen",0.193953195476911
"1685",1685,"ZNF124","uc031psx.1","pink",0.310775924056055
"1686",1686,"ZNF124","uc001icj.1","red",0.207748622137542
"1706",1706,"5S_rRNA","uc021pmi.1","blue",0.625138967492997
"1712",1712,"IDI1","uc001ifz.3","paleturquoise",0.266926968491652
"1713",1713,"IDI1","uc001iga.3","grey60",0.492390915773088
"1714",1714,"IDI1","uc001igc.3","yellowgreen",0.139910433397175
"1720",1720,"PFKP","uc001igp.3","steelblue",0.408570164943907
"1721",1721,"PFKP","uc009xhr.3","white",0.194092582375058
"1748",1748,"ATP5C1","uc001iju.3","turquoise",0.279110078086349
"1749",1749,"ATP5C1","uc001ijv.3","darkgrey",0.186483059233551
"1765",1765,"5S_rRNA","uc021pnb.1","yellow",0.871184992487673
"1776",1776,"HSPA14","uc001ind.4","orange",0.11463968876365
"1777",1777,"HSPA14","uc010qbw.3","greenyellow",0.121998432452234
"1778",1778,"HSPA14","uc001inf.4","orangered4",0.335895839729519
"1784",1784,"NMT2","uc010qbz.1","paleturquoise",0.21001619144048
"1785",1785,"NMT2","uc001inz.1","lightcyan",0.21709918793288
"1786",1786,"NMT2","uc001ioa.1","turquoise",0.215905206974405
"1792",1792,"U2","uc021pnl.1","royalblue",0.388219941378958
"1821",1821,"TRNA_Pseudo","uc021pog.1","yellow",0.89352692657946
"1830",1830,"7SK","uc021pok.1","salmon",0.193701942255408
"1838",1838,"PDSS1","uc001isv.3","orangered4",0.132788209597841
"1839",1839,"PDSS1","uc010qdf.2","white",0.161237400910029
"1846",1846,"WAC-AS1","uc021pon.1","lightgreen",0.157033379111445
"1847",1847,"WAC-AS1","uc001iuc.3","lightyellow",0.125043924195659
"1848",1848,"WAC","uc001iud.3","greenyellow",0.183776320837207
"1849",1849,"WAC","uc001iuf.3","violet",0.40692640279533
"1850",1850,"WAC","uc001iug.3","saddlebrown",0.170925320641506
"1858",1858,"ZEB1","uc001ivr.4","skyblue3",0.167826617746249
"1859",1859,"ZEB1","uc009xli.1","lightcyan",0.25936085029938
"1860",1860,"ZEB1","uc009xll.2","magenta",0.176126607490562
"1861",1861,"ZEB1","uc009xlm.1","plum1",0.115783431249211
"1862",1862,"ZEB1","uc009xln.1","magenta",0.126974439651035
"1867",1867,"C10orf68","uc001iwl.1","pink",0.572455280337629
"1868",1868,"C10orf68","uc001iwn.4","plum1",0.155069345647923
"1869",1869,"ITGB1","uc001iws.4","magenta",0.212015210329273
"1870",1870,"ITGB1","uc001iwt.4","steelblue",0.34467062434642
"1876",1876,"CCNY","uc001iyv.4","magenta",0.150058684562583
"1877",1877,"CCNY","uc001iyw.4","darkmagenta",0.14730994287664
"1888",1888,"ZNF37BP","uc001jab.4","yellowgreen",0.232930033996946
"1889",1889,"ZNF37BP","uc001jaa.4","blue",0.147157053184347
"1930",1930,"SNORA74","uc021pqj.1","salmon",0.279350959964294
"1949",1949,"Mir_584","uc021prd.1","royalblue",0.442226424566996
"1954",1954,"Y_RNA","uc021prg.1","blue",0.625499983904062
"1959",1959,"ZNF365","uc001jly.4","brown",0.413680853837827
"1960",1960,"ZNF365","uc001jma.4","orangered4",0.141047176927156
"1961",1961,"ZNF365","uc001jmb.4","greenyellow",0.225881930790484
"1964",1964,"JMJD1C","uc001jmk.3","darkolivegreen",0.401370889058045
"1965",1965,"JMJD1C","uc001jmm.3","orangered4",0.19167925706968
"1968",1968,"JMJD1C","uc001jmr.1","darkgrey",0.189573542407586
"1977",1977,"RUFY2","uc001joa.3","orangered4",0.327626715366708
"1978",1978,"RUFY2","uc001job.3","violet",0.10451642741537
"1979",1979,"RUFY2","uc010qiw.2","turquoise",0.150012846051467
"1980",1980,"RUFY2","uc001joc.3","saddlebrown",0.143534373412183
"1981",1981,"RUFY2","uc001joe.1","plum1",0.185126601789335
"1988",1988,"DDX50","uc001jot.3","greenyellow",0.16618402715685
"1989",1989,"DDX50","uc001jou.3","skyblue",0.261787392300113
"1995",1995,"SUPV3L1","uc001jpe.1","lightyellow",0.138274849332896
"1996",1996,"SUPV3L1","uc010qjd.1","white",0.175223305428448
"2003",2003,"SAR1A","uc010qjh.2","greenyellow",0.288933414057709
"2004",2004,"SAR1A","uc010qji.2","turquoise",0.333721784588822
"2016",2016,"ASCC1","uc001jsr.2","paleturquoise",0.217368603465037
"2017",2017,"ASCC1","uc001jsu.2","orangered4",0.246908239451936
"2018",2018,"ASCC1","uc010qju.2","greenyellow",0.214380895816376
"2032",2032,"MRPS16","uc001jts.1","black",0.117660175300015
"2033",2033,"MRPS16","uc001jtt.1","pink",0.157431628089662
"2036",2036,"ANXA7","uc001jtz.2","darkred",0.214388065516202
"2037",2037,"ANXA7","uc001jua.2","purple",0.211697355297327
"2038",2038,"ANXA7","uc009xre.3","turquoise",0.161388854400318
"2040",2040,"PPP3CB","uc001juf.3","brown",0.190063726781036
"2041",2041,"PPP3CB","uc001jue.3","brown",0.241222797821113
"2042",2042,"PPP3CB","uc001juh.2","white",0.148255629122991
"2044",2044,"U6","uc021ptn.1","yellow",0.971803052699212
"2054",2054,"CAMK2G","uc001jvm.2","black",0.223350027239763
"2055",2055,"CAMK2G","uc001jvr.2","skyblue",0.218484257915951
"2056",2056,"CAMK2G","uc001jvt.2","black",0.0972756062761706
"2065",2065,"Metazoa_SRP","uc021ptt.1","greenyellow",0.192390199985839
"2069",2069,"5S_rRNA","uc021ptv.1","blue",0.526332000125054
"2087",2087,"ANXA11","uc001kbq.1","yellowgreen",0.250372409237075
"2088",2088,"ANXA11","uc001kbu.1","greenyellow",0.265421050274238
"2090",2090,"FAM213A","uc021pux.1","purple",0.120101400163035
"2091",2091,"FAM213A","uc001kcc.4","salmon",0.452199958820567
"2092",2092,"FAM213A","uc001kce.4","greenyellow",0.266062115376619
"2123",2123,"STAMBPL1","uc010qmx.2","blue",0.131358990214661
"2124",2124,"STAMBPL1","uc009xto.4","red",0.219088457051711
"2125",2125,"STAMBPL1","uc001kfl.4","white",0.218473555907453
"2142",2142,"PCGF5","uc001khg.4","skyblue",0.197315132724947
"2143",2143,"PCGF5","uc001khh.4","brown",0.421336222935282
"2144",2144,"PCGF5","uc010qnk.3","plum1",0.217603161953388
