"","X","ensgene","name","module","mm"
"47",47,"TPRG1L","uc001akm.3","steelblue",0.350586344074545
"48",48,"TPRG1L","uc031pkw.1","turquoise",0.216485967288451
"81",81,"RERE","uc001ape.3","white",0.116798906464572
"82",82,"RERE","uc001apf.3","magenta",0.207421799348026
"84",84,"RERE","uc001aph.1","green",0.375927308197768
"91",91,"CLSTN1","uc001aqf.3","darkred",0.132998503674017
"92",92,"CLSTN1","uc001aqh.3","cyan",0.43857094717086
"93",93,"CLSTN1","uc010oag.2","plum1",0.180356574445289
"99",99,"KIF1B","uc001aqv.4","turquoise",0.303244135487367
"100",100,"KIF1B","uc001aqx.4","brown",0.500793405651805
"101",101,"KIF1B","uc001arb.3","royalblue",0.288030102906114
"102",102,"PGD","uc001arc.3","cyan",0.229761561372783
"103",103,"PGD","uc010oak.2","skyblue",0.187772279667538
"126",126,"VPS13D","uc001atv.3","magenta",0.149791282482604
"127",127,"VPS13D","uc001atx.3","grey60",0.203061833908029
"128",128,"VPS13D","uc001aty.1","white",0.12241709281901
"134",134,"KAZN","uc001avm.4","lightgreen",0.172427913518735
"135",135,"KAZN","uc001avp.2","darkturquoise",0.218541919725859
"136",136,"KAZN","uc001avr.2","lightcyan",0.147522206034533
"137",137,"KAZN","uc001avs.4","paleturquoise",0.224608660356862
"140",140,"DNAJC16","uc001awr.1","plum1",0.0899408106365612
"141",141,"DNAJC16","uc001aws.3","lightyellow",0.131380743129123
"154",154,"FBXO42","uc001ayf.3","lightyellow",0.144848791723694
"155",155,"FBXO42","uc001ayg.3","greenyellow",0.273075479323668
"156",156,"FBXO42","uc001ayh.3","orangered4",0.219088016198153
"175",175,"UBR4","uc001bbg.3","paleturquoise",0.0997527899309055
"176",176,"UBR4","uc001bbm.1","skyblue",0.0844954925262564
"183",183,"Metazoa_SRP","uc021ohs.1","orangered4",0.189783989372857
"192",192,"PINK1","uc001bdm.3","steelblue",0.383548918301214
"193",193,"PINK1","uc001bdn.3","pink",0.216361506852977
