"","ensgene","name","module","mm"
"99","uc001aqv.4","uc001aqv.4","turquoise",0.303244135487367
"100","uc001aqx.4","uc001aqx.4","brown",0.500793405651805
"101","uc001arb.3","uc001arb.3","royalblue",0.288030102906114
"102","uc001arc.3","uc001arc.3","cyan",0.229761561372783
"103","uc010oak.2","uc010oak.2","skyblue",0.187772279667538
"104","uc001are.3","uc001are.3","yellowgreen",0.16671376140991
"105","uc001ari.4","uc001ari.4","midnightblue",0.272557530154527
"106","uc001arj.3","uc001arj.3","plum1",0.223901177840537
"107","uc001arm.1","uc001arm.1","skyblue3",0.115194324345295
"108","uc001art.3","uc001art.3","darkgrey",0.32423181329532
"109","uc001aru.3","uc001aru.3","yellowgreen",0.216670287467398
"110","uc001arz.1","uc001arz.1","orangered4",0.231128754411847
"111","uc001asa.3","uc001asa.3","magenta",0.157150188372706
"112","uc001asc.3","uc001asc.3","darkmagenta",0.140229544965676
"113","uc031plf.1","uc031plf.1","greenyellow",0.129599323051526
"114","uc001asg.3","uc001asg.3","paleturquoise",0.133331407691754
"115","uc001asj.3","uc001asj.3","darkred",0.229821948854678
"116","uc001asl.3","uc001asl.3","skyblue",0.197516529283834
"117","uc001aso.3","uc001aso.3","yellowgreen",0.299984120537422
"118","uc001asp.3","uc001asp.3","orangered4",0.199136195769563
"119","uc001ass.2","uc001ass.2","skyblue",0.230327151822699
"120","uc001atb.1","uc001atb.1","lightcyan",0.114068579741764
"121","uc001ate.5","uc001ate.5","darkorange",0.245836932388929
"122","uc001atk.3","uc001atk.3","yellowgreen",0.134926151392034
"123","uc001atm.3","uc001atm.3","saddlebrown",0.271952989545877
"124","uc001atn.4","uc001atn.4","turquoise",0.268983593535732
"125","uc001ato.2","uc001ato.2","lightyellow",0.261410639145388
"126","uc001atv.3","uc001atv.3","magenta",0.149791282482604
"127","uc001atx.3","uc001atx.3","grey60",0.203061833908029
"128","uc001aty.1","uc001aty.1","white",0.12241709281901
"129","uc001atz.1","uc001atz.1","magenta",0.535025378428487
"130","uc001auc.3","uc001auc.3","skyblue3",0.295968743495737
"131","uc009vob.3","uc009vob.3","orange",0.165216726406129
"132","uc001avi.3","uc001avi.3","lightcyan",0.17095620374254
"133","uc001avl.1","uc001avl.1","orangered4",0.188459990227161
"134","uc001avm.4","uc001avm.4","lightgreen",0.172427913518735
"135","uc001avp.2","uc001avp.2","darkturquoise",0.218541919725859
"136","uc001avr.2","uc001avr.2","lightcyan",0.147522206034533
"137","uc001avs.4","uc001avs.4","paleturquoise",0.224608660356862
"138","uc001awh.2","uc001awh.2","lightcyan",0.465990685924298
"139","uc001awm.2","uc001awm.2","white",0.260099732030258
"140","uc001awr.1","uc001awr.1","plum1",0.0899408106365612
"141","uc001aws.3","uc001aws.3","lightyellow",0.131380743129123
"142","uc001awv.2","uc001awv.2","purple",0.194268757924424
"143","uc001awx.2","uc001awx.2","turquoise",0.226219891120748
